W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W, , , , , , , , , , , , , , , , , , ,W
W, , , , , , , , , ,W,W,W,W,W,W, , , ,W
W, , , ,W,W,W,W, , , , , , , ,W, , , ,W
W, , , ,W, , , , , , , , ,W,W,W,W, , ,W
W, ,W,W,W, , ,W,W,W,W, , , , , , , , ,W
W, , , ,W, , , , , ,W, ,W, , , , , , ,W
W, , , ,W, , , , , ,W, , , ,W,W,W, ,W,W
W, , , ,W,W,W,Q,W,W,W, , , ,W, ,W, , ,W
W, , , , , ,W, , , ,W, , , ,W, ,W, , ,W
W,W,W, , , ,W, , , ,W,W,W,W,W, ,W, , ,W
W, ,W, , , ,Q, , , , , , , , , , , , ,W
W, ,W, , , ,W,W,W,W, , , ,W,W,W, , , ,W
W, , , , , ,W, , , , ,E, , , ,W, , , ,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
